timestamp,slug,pnl,outcome,size,details
2025-12-15 18:15:24,btc-updown-15m-1765822500,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:16:04,btc-updown-15m-1765822500,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:16:04,btc-updown-15m-1765822500,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:16:04,btc-updown-15m-1765822500,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:30:01,btc-updown-15m-1765822500,0.6,FULL_STRADDLE,30,Bought UP@0.47 DOWN@0.51
2025-12-15 18:30:24,btc-updown-15m-1765823400,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:31:04,btc-updown-15m-1765823400,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:31:04,btc-updown-15m-1765823400,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:31:04,btc-updown-15m-1765823400,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:45:00,btc-updown-15m-1765823400,0.6,FULL_STRADDLE,30,Bought UP@0.52 DOWN@0.46
2025-12-15 18:45:24,btc-updown-15m-1765824300,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:46:04,btc-updown-15m-1765824300,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:46:04,btc-updown-15m-1765824300,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 18:46:04,btc-updown-15m-1765824300,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:00:24,btc-updown-15m-1765825200,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:01:04,btc-updown-15m-1765825200,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:01:04,btc-updown-15m-1765825200,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:01:04,btc-updown-15m-1765825200,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:15:23,btc-updown-15m-1765826100,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:16:03,btc-updown-15m-1765826100,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:16:04,btc-updown-15m-1765826100,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:16:04,btc-updown-15m-1765826100,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
