time_utc,timestamp,side,price,size,usd_volume,q_yes,q_no,exposure,locked_pnl,tx_hash,outcome
2025-12-12T22:48:46,1765579726,YES,0.2599999040475973,6.461537,1.6799989999999998,452.2936710000001,634.5533219999999,549.4905839999998,-97.19691299999971,0xf9ee749e69f1a1ce79bb2f1e01baf61493d2fb8ea58864867beb6655bbf79706,up
2025-12-12T22:48:46,1765579726,YES,0.259999927199984,7.692306,1.999999,459.98597700000005,634.5533219999999,551.4905829999998,-91.50460599999974,0x587ce219f0b20de84b026a2c8735d9883a9cc6aa08c27573511136e8b653618b,up
2025-12-12T22:48:46,1765579726,YES,0.2599998647999351,3.846152,0.999999,463.83212900000007,634.5533219999999,552.4905819999998,-88.65845299999972,0x861ae99767d322b5c26a4f2bc35f34082e56811cdbcd7b2bf00c9b9aa5debc92,up
2025-12-12T22:48:46,1765579726,NO,0.75,6.08,4.5600000000000005,463.83212900000007,640.6333219999999,557.0505819999997,-93.21845299999967,0x9900bbb2c63e197e7fe0eb3f4141eb3e037019e80d56276e9b13168feb53e684,down
2025-12-12T22:48:46,1765579726,YES,0.2599999040475973,6.461537,1.6799989999999998,470.2936660000001,640.6333219999999,558.7305809999997,-88.4369149999996,0x38a6d49663e8a9ac6189d9f3d6369030d37268f8a8fdd0ae3be11000b99b6b87,up
2025-12-12T22:48:48,1765579728,NO,0.75,6.08,4.5600000000000005,470.2936660000001,646.713322,563.2905809999996,-92.99691499999955,0x429fd901b3234848e51b67cde6891849b69eb522ed2e411d2372c038928e5439,down
2025-12-12T22:48:48,1765579728,NO,0.75,40.533332,30.399999,470.2936660000001,687.2466539999999,593.6905799999996,-123.39691399999953,0x72cbbaff553eb3526b18ba7a7e3b1b88714f2174cdd59610fe1997fb25cafe85,down
2025-12-12T22:48:48,1765579728,NO,0.75,6.08,4.5600000000000005,470.2936660000001,693.326654,598.2505799999996,-127.95691399999947,0x45143ce7f13b16ec843bfe21857b8ab9b4e599e4166182a031561681d77f728a,down
2025-12-12T22:48:48,1765579728,NO,0.75,15.333332,11.499999,470.2936660000001,708.659986,609.7505789999996,-139.45691299999947,0x01766d8fa0abb252dbac0cea8e7a9188ef61c5375f51030bf98a71c9ebb0b450,down
2025-12-12T22:48:48,1765579728,YES,0.26865670819781673,74.444443,19.999999000000003,544.7381090000001,708.659986,629.7505779999996,-85.01246899999944,0x087ba407349b0bee901f3effa4799912f8d13b5033d4d3fc94260ca3acc3a708,up
