timestamp,dt,slug,state,best_bid_yes,best_ask_yes,best_bid_no,best_ask_no,q_yes,q_no,fills_yes,fills_no,exposure,mtm_pnl,lock_pnl,decision,time_rem,btc_price,btc_delta,btc_conf,btc_bias,fair_yes,fair_no
1765744271,2025-12-14 21:31:11,btc-updown-15m-1765744200,IDLE,0.32,0.33,0.67,0.69,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,829,0.0,0.0,0.0,NEUTRAL,0.325,0.684
1765744274,2025-12-14 21:31:14,btc-updown-15m-1765744200,IDLE,0.32,0.34,0.66,0.68,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,826,0.0,0.0,0.0,NEUTRAL,0.33,0.671
1765744278,2025-12-14 21:31:18,btc-updown-15m-1765744200,IDLE,0.32,0.33,0.67,0.68,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,823,0.0,0.0,0.0,NEUTRAL,0.32,0.68
1765744283,2025-12-14 21:31:23,btc-updown-15m-1765744200,IDLE,0.37,0.38,0.63,0.64,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,817,0.0,0.0,0.0,NEUTRAL,0.373,0.634
1765744287,2025-12-14 21:31:27,btc-updown-15m-1765744200,IDLE,0.38,0.39,0.61,0.62,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,814,0.0,0.0,0.0,NEUTRAL,0.383,0.616
1765744290,2025-12-14 21:31:30,btc-updown-15m-1765744200,IDLE,0.37,0.38,0.62,0.63,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,810,0.0,0.0,0.0,NEUTRAL,0.371,0.62
1765744295,2025-12-14 21:31:35,btc-updown-15m-1765744200,IDLE,0.36,0.38,0.63,0.64,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,805,0.0,0.0,0.0,NEUTRAL,0.369,0.637
1765744298,2025-12-14 21:31:38,btc-updown-15m-1765744200,IDLE,0.36,0.37,0.63,0.64,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,801,0.0,0.0,0.0,NEUTRAL,0.36,0.64
1765744302,2025-12-14 21:31:42,btc-updown-15m-1765744200,IDLE,0.36,0.37,0.62,0.63,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,798,0.0,0.0,0.0,NEUTRAL,0.363,0.63
1765744307,2025-12-14 21:31:47,btc-updown-15m-1765744200,IDLE,0.37,0.39,0.61,0.63,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,793,0.0,0.0,0.0,NEUTRAL,0.379,0.621
1765744311,2025-12-14 21:31:51,btc-updown-15m-1765744200,IDLE,0.39,0.4,0.6,0.61,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,790,0.0,0.0,0.0,NEUTRAL,0.39,0.61
1765744313,2025-12-14 21:31:53,btc-updown-15m-1765744200,IDLE,0.39,0.4,0.6,0.61,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,786,0.0,0.0,0.0,NEUTRAL,0.393,0.606
1765744317,2025-12-14 21:31:57,btc-updown-15m-1765744200,IDLE,0.39,0.4,0.6,0.61,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,783,0.0,0.0,0.0,NEUTRAL,0.393,0.607
1765744321,2025-12-14 21:32:01,btc-updown-15m-1765744200,IDLE,0.39,0.41,0.59,0.61,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,778,0.0,0.0,0.0,NEUTRAL,0.392,0.61
1765744325,2025-12-14 21:32:05,btc-updown-15m-1765744200,IDLE,0.4,0.41,0.59,0.6,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,776,0.0,0.0,0.0,NEUTRAL,0.401,0.594
1765744327,2025-12-14 21:32:07,btc-updown-15m-1765744200,IDLE,0.39,0.4,0.6,0.61,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,773,0.0,0.0,0.0,NEUTRAL,0.397,0.603
1765744343,2025-12-14 21:32:23,btc-updown-15m-1765744200,IDLE,0.47,0.48,0.52,0.54,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,758,0.0,0.0,0.0,NEUTRAL,0.472,0.533
